Account name,Campaign,Campaign type,Day,Budget,Cost,Impr.,Clicks
BEN Care PCM,PCM - Search - Town Thorns Care Home - Category,Search,06/09/2024,12.32,12.46,85,6
New Theatre Royal (Trustees) Portsmouth,Brand Search,Search,06/09/2024,322.58,15.89,33,19
BEN Care PCM,PCM - Search - Lynwood Care Home - Brand - 35-54,Search,07/09/2024,10.9,10.52,61,7
BEN Care PCM,PCM - Search - Lynwood Care Home - Brand 55+,Search,07/09/2024,7.27,11.71,6,4
BEN Care PCM,PCM - Search - Lynwood Care Home - Category - 35-54,Search,07/09/2024,10.9,17.93,32,3
BEN Care PCM,PCM - Search - Lynwood Care Home - Category 55+,Search,07/09/2024,7.27,5.96,26,3
BEN Care PCM,PCM - Search - Town Thorns Care Home - Brand,Search,07/09/2024,8.21,6.3,76,5
BEN Care PCM,PCM - Search - Town Thorns Care Home - Category,Search,07/09/2024,12.32,6.81,98,2
New Theatre Royal (Trustees) Portsmouth,Brand Search,Search,07/09/2024,322.58,15.71,35,27
BEN Care PCM,PCM - Search - Lynwood Care Home - Brand - 35-54,Search,08/09/2024,10.9,1.65,47,2
BEN Care PCM,PCM - Search - Lynwood Care Home - Brand 55+,Search,08/09/2024,7.27,1.35,24,1
BEN Care PCM,PCM - Search - Lynwood Care Home - Category - 35-54,Search,08/09/2024,10.9,4.66,43,3
BEN Care PCM,PCM - Search - Lynwood Care Home - Category 55+,Search,08/09/2024,7.27,0,20,0
BEN Care PCM,PCM - Search - Town Thorns Care Home - Brand,Search,08/09/2024,8.21,11.51,42,4
BEN Care PCM,PCM - Search - Town Thorns Care Home - Category,Search,08/09/2024,12.32,10.46,48,6
New Theatre Royal (Trustees) Portsmouth,Brand Search,Search,08/09/2024,322.58,17.28,31,22
New Theatre Royal (Trustees) Portsmouth,The Very Hungry Caterpillar 2024,Search,08/09/2024,300,0,1,0
Lynwood,PCM - Search - Lynwood Rentals - Brand,Search,01/09/2024,22.63,1.39,11,4
Lynwood,PCM - Search - Lynwood Rentals - Brand,Search,02/09/2024,22.63,0.54,13,3
BSSAA Limited,PCM - Search - General Brand,Search,01/09/2024,36,19.6,222,32
BSSAA Limited,PCM - Search - General Product,Search,01/09/2024,10,3.27,36,8
BSSAA Limited,PCM - Search - Oral Solutions,Search,01/09/2024,14,16.42,126,18
BSSAA Limited,PCM_BSSAA_Display_Consideration,Display,01/09/2024,15.3,14.25,"16,062",64
BSSAA Limited,PCM - Search - General Brand,Search,02/09/2024,36,32.78,264,54
BSSAA Limited,PCM - Search - General Product,Search,02/09/2024,10,0.64,53,3
BSSAA Limited,PCM - Search - Oral Solutions,Search,02/09/2024,14,10.35,146,16
BSSAA Limited,PCM_BSSAA_Display_Consideration,Display,02/09/2024,15.3,14.5,"17,811",61
BSSAA Limited,PCM - Search - General Brand,Search,03/09/2024,36,24.21,320,35
BSSAA Limited,PCM - Search - General Product,Search,03/09/2024,10,1.49,56,5
BSSAA Limited,PCM - Search - Oral Solutions,Search,03/09/2024,14,15.94,194,24
BSSAA Limited,PCM_BSSAA_Display_Consideration,Display,03/09/2024,15.3,19.11,"18,622",67
BSSAA Limited,PCM - Search - General Brand,Search,04/09/2024,36,25.54,318,37
BSSAA Limited,PCM - Search - General Product,Search,04/09/2024,10,4.27,61,8
BSSAA Limited,PCM - Search - Oral Solutions,Search,04/09/2024,14,14.81,164,19
BSSAA Limited,PCM_BSSAA_Display_Consideration,Display,04/09/2024,15.3,16.92,"23,037",47
BSSAA Limited,PCM - Search - General Brand,Search,05/09/2024,36,21.03,280,38
BSSAA Limited,PCM - Search - General Product,Search,05/09/2024,10,2.66,63,6
BSSAA Limited,PCM - Search - Oral Solutions,Search,05/09/2024,14,17.41,142,22
BSSAA Limited,PCM_BSSAA_Display_Consideration,Display,05/09/2024,15.3,17.89,"11,779",38
BSSAA Limited,PCM - Search - General Brand,Search,06/09/2024,36,18.51,214,38
BSSAA Limited,PCM - Search - General Product,Search,06/09/2024,10,0,32,0
BSSAA Limited,PCM - Search - Oral Solutions,Search,06/09/2024,14,13.97,121,18
BSSAA Limited,PCM_BSSAA_Display_Consideration,Display,06/09/2024,15.3,15.52,"4,726",41
BSSAA Limited,Demand Gen - 2024-09-05,Demand Gen,07/09/2024,38.08,0,4,0
BSSAA Limited,PCM - Search - General Brand,Search,07/09/2024,36,14.55,244,30
BSSAA Limited,PCM - Search - General Product,Search,07/09/2024,10,2.17,49,6
BSSAA Limited,PCM - Search - Oral Solutions,Search,07/09/2024,14,10.89,104,12
BSSAA Limited,PCM_BSSAA_Display_Consideration,Display,07/09/2024,15.3,15.06,"8,475",35
BSSAA Limited,Demand Gen - 2024-09-05,Demand Gen,08/09/2024,38.08,12.76,935,3
BSSAA Limited,PCM - Search - General Brand,Search,08/09/2024,36,24.69,279,35
BSSAA Limited,PCM - Search - General Product,Search,08/09/2024,10,4.6,61,5
BSSAA Limited,PCM - Search - Oral Solutions,Search,08/09/2024,14,18.31,112,22
BSSAA Limited,PCM_BSSAA_Display_Consideration,Display,08/09/2024,15.3,16.85,"11,909",31
Cherry Godfrey Group,[D] GSY - PLoans,Display,01/09/2024,5,5.51,"41,486",74
Cherry Godfrey Group,[D] IOM - PLoans,Display,01/09/2024,5,5.27,"34,859",112
Cherry Godfrey Group,[D] IOW - PLoans,Display,01/09/2024,5,5.3,"11,452",50
Cherry Godfrey Group,[D] Jsy - PLoans,Display,01/09/2024,5,5.28,"29,599",105
Cherry Godfrey Group,[S] IOM - PLoans,Search,01/09/2024,5,4.58,51,10
Cherry Godfrey Group,[S] Jsy - PLoans,Search,01/09/2024,5,4.61,91,5
Cherry Godfrey Group,Guernsey HInsurance 2022,Display,01/09/2024,2,5.02,"9,776",69
Cherry Godfrey Group,Guernsey LInsurance 2022,Display,01/09/2024,2,5.33,"29,858",102
Cherry Godfrey Group,IOM LInsurance 2022,Display,01/09/2024,2,5.29,"35,157",158
Cherry Godfrey Group,IOW House Insurance,Display,01/09/2024,2,5.28,"31,714",54
Cherry Godfrey Group,IOW Life Insurance,Display,01/09/2024,2,5.08,"23,335",73
Cherry Godfrey Group,IOW Mortgages,Display,01/09/2024,2,5.24,"32,539",65
Cherry Godfrey Group,Jersey LInsurance 2022,Display,01/09/2024,2,5.16,"32,044",154
Cherry Godfrey Group,Mortgages Guernsey 2022,Display,01/09/2024,2,5.29,"36,501",98
Cherry Godfrey Group,Mortgages Isle of Man 2022,Display,01/09/2024,2,5.27,"27,624",204
Cherry Godfrey Group,Mortgages Jersey 2022,Display,01/09/2024,5,5.35,"21,789",114
Promensil,PCM - Search - Promensil - Consideration - 24-25,Search,01/09/2024,16,17.6,657,56
Cherry Godfrey Group,[D] GSY - PLoans,Display,02/09/2024,5,4.4,"30,063",68
Cherry Godfrey Group,[D] IOM - PLoans,Display,02/09/2024,5,5.38,"26,440",135
Cherry Godfrey Group,[D] IOW - PLoans,Display,02/09/2024,5,6.01,"21,222",56
Cherry Godfrey Group,[D] Jsy - PLoans,Display,02/09/2024,5,5.14,"36,578",116
Cherry Godfrey Group,[S] IOM - PLoans,Search,02/09/2024,5,7.45,111,14
Cherry Godfrey Group,[S] Jsy - PLoans,Search,02/09/2024,5,6.75,64,9
Cherry Godfrey Group,Guernsey HInsurance 2022,Display,02/09/2024,2,5.51,"17,795",85
Cherry Godfrey Group,Guernsey LInsurance 2022,Display,02/09/2024,2,5.64,"30,403",130
Cherry Godfrey Group,IOM LInsurance 2022,Display,02/09/2024,2,5.39,"34,800",182
Cherry Godfrey Group,IOW House Insurance,Display,02/09/2024,2,5.23,"28,634",73
Cherry Godfrey Group,IOW Life Insurance,Display,02/09/2024,2,5.38,"41,644",73
Cherry Godfrey Group,IOW Mortgages,Display,02/09/2024,2,5.54,"24,238",72
Cherry Godfrey Group,Jersey LInsurance 2022,Display,02/09/2024,2,5.49,"33,606",153
Cherry Godfrey Group,Mortgages Guernsey 2022,Display,02/09/2024,2,5.33,"36,804",112
Cherry Godfrey Group,Mortgages Isle of Man 2022,Display,02/09/2024,2,4.88,"25,162",186
Cherry Godfrey Group,Mortgages Jersey 2022,Display,02/09/2024,5,5.31,"21,275",175
Promensil,PCM - Search - Promensil - Consideration - 24-25,Search,02/09/2024,16,17.96,737,60
Cherry Godfrey Group,[D] GSY - PLoans,Display,03/09/2024,5,6.15,"42,488",63
Cherry Godfrey Group,[D] IOM - PLoans,Display,03/09/2024,5,4.61,"26,677",122
Cherry Godfrey Group,[D] IOW - PLoans,Display,03/09/2024,5,5.73,"33,101",60
Cherry Godfrey Group,[D] Jsy - PLoans,Display,03/09/2024,5,5.19,"27,615",105
Cherry Godfrey Group,[S] IOM - PLoans,Search,03/09/2024,5,6.29,98,14
Cherry Godfrey Group,[S] Jsy - PLoans,Search,03/09/2024,5,7.16,59,10
Cherry Godfrey Group,Guernsey HInsurance 2022,Display,03/09/2024,2,4.94,"15,772",90
Cherry Godfrey Group,Guernsey LInsurance 2022,Display,03/09/2024,2,5.42,"27,267",108
Cherry Godfrey Group,IOM LInsurance 2022,Display,03/09/2024,2,3.42,"25,506",116
Cherry Godfrey Group,IOW House Insurance,Display,03/09/2024,2,5.17,"27,322",61
Cherry Godfrey Group,IOW Life Insurance,Display,03/09/2024,2,2.96,"28,340",38
Cherry Godfrey Group,IOW Mortgages,Display,03/09/2024,2,2.7,"5,177",34
Cherry Godfrey Group,Jersey LInsurance 2022,Display,03/09/2024,2,5.31,"29,025",111
Cherry Godfrey Group,Mortgages Guernsey 2022,Display,03/09/2024,2,5.26,"29,684",94
Cherry Godfrey Group,Mortgages Isle of Man 2022,Display,03/09/2024,2,5.25,"24,039",194
Cherry Godfrey Group,Mortgages Jersey 2022,Display,03/09/2024,5,5.29,"28,973",133
Promensil,PCM - Search - Promensil - Consideration - 24-25,Search,03/09/2024,16,17.81,759,60
Cherry Godfrey Group,[D] GSY - PLoans,Display,04/09/2024,5,4.87,"38,489",55
Cherry Godfrey Group,[D] IOM - PLoans,Display,04/09/2024,5,6.02,"44,426",105
Cherry Godfrey Group,[D] IOW - PLoans,Display,04/09/2024,5,5.3,"18,366",64
Cherry Godfrey Group,[D] Jsy - PLoans,Display,04/09/2024,5,5.28,"36,249",102
Cherry Godfrey Group,[S] IOM - PLoans,Search,04/09/2024,5,6.21,70,13
Cherry Godfrey Group,[S] Jsy - PLoans,Search,04/09/2024,5,3.92,87,6
Cherry Godfrey Group,Guernsey HInsurance 2022,Display,04/09/2024,2,5.61,"7,820",77
Cherry Godfrey Group,Guernsey LInsurance 2022,Display,04/09/2024,2,4.97,"16,287",117
Cherry Godfrey Group,IOM LInsurance 2022,Display,04/09/2024,2,6.94,"37,189",125
Cherry Godfrey Group,IOW House Insurance,Display,04/09/2024,2,5.68,"37,653",67
Cherry Godfrey Group,IOW Life Insurance,Display,04/09/2024,2,7.75,"30,400",64
Cherry Godfrey Group,IOW Mortgages,Display,04/09/2024,2,7.63,"35,706",48
Cherry Godfrey Group,Jersey LInsurance 2022,Display,04/09/2024,2,4.65,"27,163",137
Cherry Godfrey Group,Mortgages Guernsey 2022,Display,04/09/2024,2,5.48,"23,361",121
Cherry Godfrey Group,Mortgages Isle of Man 2022,Display,04/09/2024,2,5.24,"18,186",191
Cherry Godfrey Group,Mortgages Jersey 2022,Display,04/09/2024,5,5.05,"21,435",135
Promensil,PCM - Search - Promensil - Consideration - 24-25,Search,04/09/2024,16,17.89,561,59
Cherry Godfrey Group,[D] GSY - PLoans,Display,05/09/2024,5,5.2,"36,358",53
Cherry Godfrey Group,[D] IOM - PLoans,Display,05/09/2024,5,5.01,"30,205",101
Cherry Godfrey Group,[D] IOW - PLoans,Display,05/09/2024,5,4,"11,940",51
Cherry Godfrey Group,[D] Jsy - PLoans,Display,05/09/2024,5,5.59,"41,657",74
Cherry Godfrey Group,[S] IOM - PLoans,Search,05/09/2024,5,2.58,90,5
Cherry Godfrey Group,[S] Jsy - PLoans,Search,05/09/2024,5,4.33,81,10
Cherry Godfrey Group,Guernsey HInsurance 2022,Display,05/09/2024,2,5.21,"11,720",77
Cherry Godfrey Group,Guernsey LInsurance 2022,Display,05/09/2024,2,5.11,"26,525",82
Cherry Godfrey Group,IOM LInsurance 2022,Display,05/09/2024,2,5.34,"27,188",131
Cherry Godfrey Group,IOW House Insurance,Display,05/09/2024,2,3.74,"25,499",53
Cherry Godfrey Group,IOW Life Insurance,Display,05/09/2024,2,5.75,"28,610",43
Cherry Godfrey Group,IOW Mortgages,Display,05/09/2024,2,5.76,"25,819",57
Cherry Godfrey Group,Jersey LInsurance 2022,Display,05/09/2024,2,5.81,"24,062",144
Cherry Godfrey Group,Mortgages Guernsey 2022,Display,05/09/2024,2,4.35,"21,927",100
Cherry Godfrey Group,Mortgages Isle of Man 2022,Display,05/09/2024,2,5.07,"15,212",199
Cherry Godfrey Group,Mortgages Jersey 2022,Display,05/09/2024,5,5.43,"21,056",126
Promensil,PCM - Search - Promensil - Consideration - 24-25,Search,05/09/2024,16,18.01,659,59
Cherry Godfrey Group,[D] GSY - PLoans,Display,06/09/2024,5,5.08,"26,527",50
Cherry Godfrey Group,[D] IOM - PLoans,Display,06/09/2024,5,4.96,"32,094",108
Cherry Godfrey Group,[D] IOW - PLoans,Display,06/09/2024,5,5.02,"19,327",45
Cherry Godfrey Group,[D] Jsy - PLoans,Display,06/09/2024,5,5.23,"26,721",88
Cherry Godfrey Group,[S] IOM - PLoans,Search,06/09/2024,5,2.39,79,7
Cherry Godfrey Group,[S] Jsy - PLoans,Search,06/09/2024,5,1.79,57,3
Cherry Godfrey Group,Guernsey HInsurance 2022,Display,06/09/2024,2,2.11,"4,677",31
Cherry Godfrey Group,Guernsey LInsurance 2022,Display,06/09/2024,2,2.05,"7,444",37
Cherry Godfrey Group,IOM LInsurance 2022,Display,06/09/2024,2,1.97,"12,859",65
Cherry Godfrey Group,IOW House Insurance,Display,06/09/2024,2,6.01,"26,320",49
Cherry Godfrey Group,IOW Life Insurance,Display,06/09/2024,2,3.77,"11,596",39
Cherry Godfrey Group,IOW Mortgages,Display,06/09/2024,2,2.11,"9,992",20
Cherry Godfrey Group,Jersey LInsurance 2022,Display,06/09/2024,2,2.05,"8,482",43
Cherry Godfrey Group,Mortgages Guernsey 2022,Display,06/09/2024,2,5.75,"18,340",80
Cherry Godfrey Group,Mortgages Isle of Man 2022,Display,06/09/2024,2,2.17,"7,879",76
Cherry Godfrey Group,Mortgages Jersey 2022,Display,06/09/2024,5,5.11,"19,723",139
Promensil,PCM - Search - Promensil - Consideration - 24-25,Search,06/09/2024,16,15.68,656,51
Cherry Godfrey Group,[D] GSY - PLoans,Display,07/09/2024,5,5.09,"28,559",62
Cherry Godfrey Group,[D] IOM - PLoans,Display,07/09/2024,5,5.14,"26,131",119
Cherry Godfrey Group,[D] IOW - PLoans,Display,07/09/2024,5,5.36,"30,121",72
Cherry Godfrey Group,[D] Jsy - PLoans,Display,07/09/2024,5,5.14,"35,686",91
Cherry Godfrey Group,[S] IOM - PLoans,Search,07/09/2024,5,3.56,66,7
Cherry Godfrey Group,[S] Jsy - PLoans,Search,07/09/2024,5,6.3,69,8
Cherry Godfrey Group,Guernsey HInsurance 2022,Display,07/09/2024,2,2.1,"7,221",42
Cherry Godfrey Group,Guernsey LInsurance 2022,Display,07/09/2024,2,1.27,"5,230",50
Cherry Godfrey Group,IOM LInsurance 2022,Display,07/09/2024,2,2.18,"12,414",89
Cherry Godfrey Group,IOW House Insurance,Display,07/09/2024,2,2.17,"13,243",11
Cherry Godfrey Group,IOW Life Insurance,Display,07/09/2024,2,2.38,"12,989",26
Cherry Godfrey Group,IOW Mortgages,Display,07/09/2024,2,2.06,"9,221",26
Cherry Godfrey Group,Jersey LInsurance 2022,Display,07/09/2024,2,2.16,"12,765",75
Cherry Godfrey Group,Mortgages Guernsey 2022,Display,07/09/2024,2,2.14,"11,652",43
Cherry Godfrey Group,Mortgages Isle of Man 2022,Display,07/09/2024,2,2.21,"8,374",79
Cherry Godfrey Group,Mortgages Jersey 2022,Display,07/09/2024,5,4.55,"17,639",161
Promensil,PCM - Search - Promensil - Consideration - 24-25,Search,07/09/2024,16,16.33,608,55
Cherry Godfrey Group,[D] GSY - PLoans,Display,08/09/2024,5,5.46,"37,094",69
Cherry Godfrey Group,[D] IOM - PLoans,Display,08/09/2024,5,5.47,"26,795",135
Cherry Godfrey Group,[D] IOW - PLoans,Display,08/09/2024,5,5.29,"19,590",64
Cherry Godfrey Group,[D] Jsy - PLoans,Display,08/09/2024,5,5.46,"30,409",110
Cherry Godfrey Group,[S] IOM - PLoans,Search,08/09/2024,5,6.86,76,12
Cherry Godfrey Group,[S] Jsy - PLoans,Search,08/09/2024,5,8.2,45,7
Cherry Godfrey Group,Guernsey HInsurance 2022,Display,08/09/2024,2,2.09,"9,838",40
Cherry Godfrey Group,Guernsey LInsurance 2022,Display,08/09/2024,2,3.02,"15,616",53
Cherry Godfrey Group,IOM LInsurance 2022,Display,08/09/2024,2,2.17,"16,939",83
Cherry Godfrey Group,IOW House Insurance,Display,08/09/2024,2,2.05,"13,119",23
Cherry Godfrey Group,IOW Life Insurance,Display,08/09/2024,2,2.14,"15,600",30
Cherry Godfrey Group,IOW Mortgages,Display,08/09/2024,2,2.23,"12,611",23
Cherry Godfrey Group,Jersey LInsurance 2022,Display,08/09/2024,2,2.09,"11,037",66
Cherry Godfrey Group,Mortgages Guernsey 2022,Display,08/09/2024,2,2.05,"8,231",73
Cherry Godfrey Group,Mortgages Isle of Man 2022,Display,08/09/2024,2,2.27,"13,343",99
Cherry Godfrey Group,Mortgages Jersey 2022,Display,08/09/2024,5,6,"30,610",168
Promensil,PCM - Search - Promensil - Consideration - 24-25,Search,08/09/2024,16,14.02,690,48
