Campaign,Campaign type,Day,Currency code,Budget,Account name,Customer ID,Cost,Impr.,Clicks
_haliborange_halibaby_uk_display_cpc_traffic_sep_2024_,Display,09/09/2024,GBP,34,Haliborange - PCM,910-547-9147,35.07,"4,489",99
_haliborange_one4me4U_uk_search_cpc_traffic_sep_2024_,Search,09/09/2024,GBP,44.8,Haliborange - PCM,910-547-9147,52.4,820,64
_haliborange_one4me4U_uk_video_cpm_traffic_sep_2024_,Video,09/09/2024,GBP,86,Haliborange - PCM,910-547-9147,88.28,"33,041",82
_haliborange_halibaby_uk_display_cpc_traffic_sep_2024_,Display,10/09/2024,GBP,34,Haliborange - PCM,910-547-9147,31.93,"2,011",71
_haliborange_one4me4U_uk_search_cpc_traffic_sep_2024_,Search,10/09/2024,GBP,44.8,Haliborange - PCM,910-547-9147,44.81,811,56
_haliborange_one4me4U_uk_video_cpm_traffic_sep_2024_,Video,10/09/2024,GBP,86,Haliborange - PCM,910-547-9147,89.41,"34,446",81
_haliborange_halibaby_uk_display_cpc_traffic_sep_2024_,Display,11/09/2024,GBP,34,Haliborange - PCM,910-547-9147,34.24,"3,029",68
_haliborange_one4me4U_uk_search_cpc_traffic_sep_2024_,Search,11/09/2024,GBP,44.8,Haliborange - PCM,910-547-9147,49.12,882,64
_haliborange_one4me4U_uk_video_cpm_traffic_sep_2024_,Video,11/09/2024,GBP,86,Haliborange - PCM,910-547-9147,88.07,"33,881",88
_haliborange_halibaby_uk_display_cpc_traffic_sep_2024_,Display,12/09/2024,GBP,34,Haliborange - PCM,910-547-9147,45.56,"3,589",106
_haliborange_one4me4U_uk_search_cpc_traffic_sep_2024_,Search,12/09/2024,GBP,44.8,Haliborange - PCM,910-547-9147,42.75,781,55
_haliborange_one4me4U_uk_video_cpm_traffic_sep_2024_,Video,12/09/2024,GBP,86,Haliborange - PCM,910-547-9147,88.8,"29,199",82
_haliborange_halibaby_uk_display_cpc_traffic_sep_2024_,Display,13/09/2024,GBP,34,Haliborange - PCM,910-547-9147,37.16,"2,816",92
_haliborange_one4me4U_uk_search_cpc_traffic_sep_2024_,Search,13/09/2024,GBP,44.8,Haliborange - PCM,910-547-9147,36.86,568,56
_haliborange_one4me4U_uk_video_cpm_traffic_sep_2024_,Video,13/09/2024,GBP,86,Haliborange - PCM,910-547-9147,88.38,"29,490",98
_haliborange_halibaby_uk_display_cpc_traffic_sep_2024_,Display,14/09/2024,GBP,34,Haliborange - PCM,910-547-9147,33.15,"2,286",100
_haliborange_one4me4U_uk_search_cpc_traffic_sep_2024_,Search,14/09/2024,GBP,44.8,Haliborange - PCM,910-547-9147,36.02,610,52
_haliborange_one4me4U_uk_video_cpm_traffic_sep_2024_,Video,14/09/2024,GBP,86,Haliborange - PCM,910-547-9147,88.02,"30,302",105
_haliborange_halibaby_uk_display_cpc_traffic_sep_2024_,Display,15/09/2024,GBP,34,Haliborange - PCM,910-547-9147,34.43,"2,064",94
_haliborange_one4me4U_uk_search_cpc_traffic_sep_2024_,Search,15/09/2024,GBP,44.8,Haliborange - PCM,910-547-9147,28.39,735,41
_haliborange_one4me4U_uk_video_cpm_traffic_sep_2024_,Video,15/09/2024,GBP,86,Haliborange - PCM,910-547-9147,87.39,"31,169",89
Demand Gen - 2024-09-05,Demand Gen,09/09/2024,GBP,38.08,BSSAA Limited,265-723-1290,48.03,"20,751",196
PCM - Search - General Brand,Search,09/09/2024,GBP,36,BSSAA Limited,265-723-1290,17.64,269,35
PCM - Search - General Product,Search,09/09/2024,GBP,15.3,BSSAA Limited,265-723-1290,2.74,44,5
PCM - Search - Oral Solutions,Search,09/09/2024,GBP,21,BSSAA Limited,265-723-1290,19.79,130,15
PCM_BSSAA_Display_Consideration,Display,09/09/2024,GBP,10,BSSAA Limited,265-723-1290,16.13,"17,333",38
Demand Gen - 2024-09-05,Demand Gen,10/09/2024,GBP,38.08,BSSAA Limited,265-723-1290,47.74,"29,942",322
PCM - Search - General Brand,Search,10/09/2024,GBP,36,BSSAA Limited,265-723-1290,20.45,289,30
PCM - Search - General Product,Search,10/09/2024,GBP,15.3,BSSAA Limited,265-723-1290,9.82,58,6
PCM - Search - Oral Solutions,Search,10/09/2024,GBP,21,BSSAA Limited,265-723-1290,11.08,124,13
PCM_BSSAA_Display_Consideration,Display,10/09/2024,GBP,10,BSSAA Limited,265-723-1290,10.37,"4,737",24
Demand Gen - 2024-09-05,Demand Gen,11/09/2024,GBP,38.08,BSSAA Limited,265-723-1290,39.22,"17,308",189
PCM - Search - General Brand,Search,11/09/2024,GBP,36,BSSAA Limited,265-723-1290,27.3,429,47
PCM - Search - General Product,Search,11/09/2024,GBP,15.3,BSSAA Limited,265-723-1290,1.06,40,3
PCM - Search - Oral Solutions,Search,11/09/2024,GBP,21,BSSAA Limited,265-723-1290,12.9,112,13
PCM_BSSAA_Display_Consideration,Display,11/09/2024,GBP,10,BSSAA Limited,265-723-1290,9.47,"6,649",15
Demand Gen - 2024-09-05,Demand Gen,12/09/2024,GBP,38.08,BSSAA Limited,265-723-1290,49.62,"19,078",310
PCM - Search - General Brand,Search,12/09/2024,GBP,36,BSSAA Limited,265-723-1290,32.54,285,45
PCM - Search - General Product,Search,12/09/2024,GBP,15.3,BSSAA Limited,265-723-1290,3.98,53,5
PCM - Search - Oral Solutions,Search,12/09/2024,GBP,21,BSSAA Limited,265-723-1290,15.59,84,18
PCM_BSSAA_Display_Consideration,Display,12/09/2024,GBP,10,BSSAA Limited,265-723-1290,10.05,"9,490",29
Demand Gen - 2024-09-05,Demand Gen,13/09/2024,GBP,38.08,BSSAA Limited,265-723-1290,5.89,"1,412",10
PCM - Search - General Brand,Search,13/09/2024,GBP,36,BSSAA Limited,265-723-1290,14.46,249,23
PCM - Search - General Product,Search,13/09/2024,GBP,15.3,BSSAA Limited,265-723-1290,0.44,35,1
PCM - Search - Oral Solutions,Search,13/09/2024,GBP,21,BSSAA Limited,265-723-1290,14.91,139,21
PCM_BSSAA_Display_Consideration,Display,13/09/2024,GBP,10,BSSAA Limited,265-723-1290,0,215,0
Demand Gen - 2024-09-05,Demand Gen,14/09/2024,GBP,38.08,BSSAA Limited,265-723-1290,49.41,"20,662",171
PCM - Search - General Brand,Search,14/09/2024,GBP,36,BSSAA Limited,265-723-1290,17.58,227,30
PCM - Search - General Product,Search,14/09/2024,GBP,15.3,BSSAA Limited,265-723-1290,2.63,28,2
PCM - Search - Oral Solutions,Search,14/09/2024,GBP,21,BSSAA Limited,265-723-1290,8.13,106,9
Demand Gen - 2024-09-05,Demand Gen,15/09/2024,GBP,38.08,BSSAA Limited,265-723-1290,46.3,"9,214",32
PCM - Search - General Brand,Search,15/09/2024,GBP,36,BSSAA Limited,265-723-1290,19.77,232,31
PCM - Search - General Product,Search,15/09/2024,GBP,15.3,BSSAA Limited,265-723-1290,2.42,48,6
PCM - Search - Oral Solutions,Search,15/09/2024,GBP,21,BSSAA Limited,265-723-1290,14.55,103,16
PCM - Search - Lynwood Rentals - Brand,Search,09/09/2024,GBP,22.63,Lynwood,901-619-3253,0.5,38,1
PCM - Search - Lynwood Rentals - Brand,Search,10/09/2024,GBP,22.63,Lynwood,901-619-3253,45.2,121,10
PCM - Search - Lynwood Rentals - Brand,Search,11/09/2024,GBP,22.63,Lynwood,901-619-3253,4.12,139,3
PCM - Search - Lynwood Rentals - Brand,Search,12/09/2024,GBP,22.63,Lynwood,901-619-3253,42.68,215,9
PCM - Search - Lynwood Rentals - Brand,Search,13/09/2024,GBP,22.63,Lynwood,901-619-3253,30.71,72,5
PCM - Search - Lynwood Rentals - Brand,Search,14/09/2024,GBP,22.63,Lynwood,901-619-3253,5.61,74,5
PCM - Search - Lynwood Rentals - Brand,Search,15/09/2024,GBP,22.63,Lynwood,901-619-3253,3.53,8,2
Brand Search,Search,09/09/2024,USD,322.58,New Theatre Royal (Trustees) Portsmouth,822-049-1529,24.61,41,28
PCM - Search - Lynwood Care Home - Brand - 35-54,Search,09/09/2024,GBP,10.9,BEN Care PCM,999-236-7205,17,183,10
PCM - Search - Lynwood Care Home - Brand 55+,Search,09/09/2024,GBP,7.27,BEN Care PCM,999-236-7205,3.19,39,4
PCM - Search - Lynwood Care Home - Category - 35-54,Search,09/09/2024,GBP,10.9,BEN Care PCM,999-236-7205,5.01,33,4
PCM - Search - Lynwood Care Home - Category 55+,Search,09/09/2024,GBP,7.27,BEN Care PCM,999-236-7205,14.19,26,4
PCM - Search - Town Thorns Care Home - Brand,Search,09/09/2024,GBP,8.21,BEN Care PCM,999-236-7205,9.89,50,6
PCM - Search - Town Thorns Care Home - Category,Search,09/09/2024,GBP,12.32,BEN Care PCM,999-236-7205,0.64,104,1
The Very Hungry Caterpillar 2024,Search,09/09/2024,USD,300,New Theatre Royal (Trustees) Portsmouth,822-049-1529,0,1,0
Brand Search,Search,10/09/2024,USD,322.58,New Theatre Royal (Trustees) Portsmouth,822-049-1529,14.2,30,16
PCM - Search - Lynwood Care Home - Brand - 35-54,Search,10/09/2024,GBP,10.9,BEN Care PCM,999-236-7205,11.19,94,5
PCM - Search - Lynwood Care Home - Brand 55+,Search,10/09/2024,GBP,7.27,BEN Care PCM,999-236-7205,8.78,140,5
PCM - Search - Lynwood Care Home - Category - 35-54,Search,10/09/2024,GBP,10.9,BEN Care PCM,999-236-7205,10.31,121,8
PCM - Search - Lynwood Care Home - Category 55+,Search,10/09/2024,GBP,7.27,BEN Care PCM,999-236-7205,9.84,56,2
PCM - Search - Town Thorns Care Home - Brand,Search,10/09/2024,GBP,8.21,BEN Care PCM,999-236-7205,3.03,61,2
PCM - Search - Town Thorns Care Home - Category,Search,10/09/2024,GBP,12.32,BEN Care PCM,999-236-7205,24.64,148,7
The Very Hungry Caterpillar 2024,Search,10/09/2024,USD,300,New Theatre Royal (Trustees) Portsmouth,822-049-1529,1.41,2,1
Brand Search,Search,11/09/2024,USD,322.58,New Theatre Royal (Trustees) Portsmouth,822-049-1529,16.76,32,22
PCM - Search - Lynwood Care Home - Brand - 35-54,Search,11/09/2024,GBP,10.9,BEN Care PCM,999-236-7205,2.34,76,3
PCM - Search - Lynwood Care Home - Brand 55+,Search,11/09/2024,GBP,7.27,BEN Care PCM,999-236-7205,6.55,89,4
PCM - Search - Lynwood Care Home - Category - 35-54,Search,11/09/2024,GBP,10.9,BEN Care PCM,999-236-7205,17.19,83,7
PCM - Search - Lynwood Care Home - Category 55+,Search,11/09/2024,GBP,7.27,BEN Care PCM,999-236-7205,7.44,36,2
PCM - Search - Town Thorns Care Home - Brand,Search,11/09/2024,GBP,8.21,BEN Care PCM,999-236-7205,6.61,69,8
PCM - Search - Town Thorns Care Home - Category,Search,11/09/2024,GBP,12.32,BEN Care PCM,999-236-7205,10.34,121,4
The Very Hungry Caterpillar 2024,Search,11/09/2024,USD,300,New Theatre Royal (Trustees) Portsmouth,822-049-1529,0,2,0
Brand Search,Search,12/09/2024,USD,322.58,New Theatre Royal (Trustees) Portsmouth,822-049-1529,26.37,35,23
PCM - Search - Lynwood Care Home - Brand - 35-54,Search,12/09/2024,GBP,10.9,BEN Care PCM,999-236-7205,7.68,103,5
PCM - Search - Lynwood Care Home - Brand 55+,Search,12/09/2024,GBP,7.27,BEN Care PCM,999-236-7205,6.5,128,5
PCM - Search - Lynwood Care Home - Category - 35-54,Search,12/09/2024,GBP,10.9,BEN Care PCM,999-236-7205,15.11,90,5
PCM - Search - Lynwood Care Home - Category 55+,Search,12/09/2024,GBP,7.27,BEN Care PCM,999-236-7205,7.32,24,3
PCM - Search - Town Thorns Care Home - Brand,Search,12/09/2024,GBP,8.21,BEN Care PCM,999-236-7205,16.04,49,3
PCM - Search - Town Thorns Care Home - Category,Search,12/09/2024,GBP,12.32,BEN Care PCM,999-236-7205,17.45,119,5
Brand Search,Search,13/09/2024,USD,322.58,New Theatre Royal (Trustees) Portsmouth,822-049-1529,22.49,33,20
PCM - Search - Lynwood Care Home - Brand - 35-54,Search,13/09/2024,GBP,10.9,BEN Care PCM,999-236-7205,21.59,172,8
PCM - Search - Lynwood Care Home - Brand 55+,Search,13/09/2024,GBP,7.27,BEN Care PCM,999-236-7205,10.44,107,1
PCM - Search - Lynwood Care Home - Category - 35-54,Search,13/09/2024,GBP,10.9,BEN Care PCM,999-236-7205,9.34,29,3
PCM - Search - Lynwood Care Home - Category 55+,Search,13/09/2024,GBP,7.27,BEN Care PCM,999-236-7205,6.94,47,4
PCM - Search - Town Thorns Care Home - Brand,Search,13/09/2024,GBP,8.21,BEN Care PCM,999-236-7205,7.66,9,3
PCM - Search - Town Thorns Care Home - Category,Search,13/09/2024,GBP,12.32,BEN Care PCM,999-236-7205,12.01,45,7
The Very Hungry Caterpillar 2024,Search,13/09/2024,USD,300,New Theatre Royal (Trustees) Portsmouth,822-049-1529,1.99,1,1
Brand Search,Search,14/09/2024,USD,322.58,New Theatre Royal (Trustees) Portsmouth,822-049-1529,21.48,36,21
PCM - Search - Lynwood Care Home - Brand - 35-54,Search,14/09/2024,GBP,10.9,BEN Care PCM,999-236-7205,13.74,49,4
PCM - Search - Lynwood Care Home - Brand 55+,Search,14/09/2024,GBP,7.27,BEN Care PCM,999-236-7205,6.44,47,4
PCM - Search - Lynwood Care Home - Category - 35-54,Search,14/09/2024,GBP,10.9,BEN Care PCM,999-236-7205,3.04,37,2
PCM - Search - Lynwood Care Home - Category 55+,Search,14/09/2024,GBP,7.27,BEN Care PCM,999-236-7205,4.05,45,1
PCM - Search - Town Thorns Care Home - Brand,Search,14/09/2024,GBP,8.21,BEN Care PCM,999-236-7205,1.96,30,3
PCM - Search - Town Thorns Care Home - Category,Search,14/09/2024,GBP,12.32,BEN Care PCM,999-236-7205,9.72,79,5
Brand Search,Search,15/09/2024,USD,322.58,New Theatre Royal (Trustees) Portsmouth,822-049-1529,17.67,38,21
PCM - Search - Lynwood Care Home - Brand - 35-54,Search,15/09/2024,GBP,10.9,BEN Care PCM,999-236-7205,4.21,105,4
PCM - Search - Lynwood Care Home - Brand 55+,Search,15/09/2024,GBP,7.27,BEN Care PCM,999-236-7205,0,62,0
PCM - Search - Lynwood Care Home - Category - 35-54,Search,15/09/2024,GBP,10.9,BEN Care PCM,999-236-7205,15.56,54,5
PCM - Search - Lynwood Care Home - Category 55+,Search,15/09/2024,GBP,7.27,BEN Care PCM,999-236-7205,7.27,7,2
PCM - Search - Town Thorns Care Home - Brand,Search,15/09/2024,GBP,8.21,BEN Care PCM,999-236-7205,2.14,17,2
PCM - Search - Town Thorns Care Home - Category,Search,15/09/2024,GBP,12.32,BEN Care PCM,999-236-7205,1.68,56,2
The Very Hungry Caterpillar 2024,Search,15/09/2024,USD,300,New Theatre Royal (Trustees) Portsmouth,822-049-1529,0,1,0
_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,09/09/2024,GBP,20,Bioglan,784-415-3148,1.4,"4,559",28
_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,09/09/2024,GBP,40,Bioglan,784-415-3148,49.01,"1,118",133
_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,09/09/2024,GBP,26.66,Bioglan,784-415-3148,27.72,"11,747",29
_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,09/09/2024,GBP,43.33,Bioglan,784-415-3148,1.24,"4,161",30
_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,09/09/2024,GBP,50,Bioglan,784-415-3148,59.12,"1,669",153
_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,09/09/2024,GBP,40,Bioglan,784-415-3148,41.7,"6,820",10
_pcm_bgl_vg_sk_uk_display_cpc_traffic_sep_2024_,Display,09/09/2024,GBP,27.58,Bioglan,784-415-3148,13.68,"4,968",204
_pcm_bgl_vg_sk_uk_search_cpc_traffic_sep_2024_,Search,09/09/2024,GBP,34.48,Bioglan,784-415-3148,40.2,969,143
_sambucol_b2s_category_uk_search_cpc_traffic_aug_2024_,Search,09/09/2024,GBP,26,Sambucol,521-119-4345,105.9,"1,377",144
_sambucol_b2s_category_uk_video_cpm_traffic_aug_2024_,Video,09/09/2024,GBP,26,Sambucol,521-119-4345,92.21,"31,551",56
NEW: PCM- VA+CC - 2024-25,Display,09/09/2024,GBP,22,Skin Doctors - PCM,393-022-8800,1.65,"4,152",31
PCM_Depilatories_24-25,Display,09/09/2024,GBP,30,Skin Doctors - PCM,393-022-8800,34.81,"39,628",560
_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,10/09/2024,GBP,20,Bioglan,784-415-3148,1.21,"7,840",25
_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,10/09/2024,GBP,40,Bioglan,784-415-3148,44.08,"1,174",113
_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,10/09/2024,GBP,26.66,Bioglan,784-415-3148,27.52,"6,888",22
_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,10/09/2024,GBP,43.33,Bioglan,784-415-3148,2.1,"5,224",43
_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,10/09/2024,GBP,50,Bioglan,784-415-3148,61.17,"1,518",149
_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,10/09/2024,GBP,40,Bioglan,784-415-3148,41.68,"6,869",10
_pcm_bgl_vg_sk_uk_display_cpc_traffic_sep_2024_,Display,10/09/2024,GBP,27.58,Bioglan,784-415-3148,54.11,"8,855",808
_pcm_bgl_vg_sk_uk_search_cpc_traffic_sep_2024_,Search,10/09/2024,GBP,34.48,Bioglan,784-415-3148,38.62,923,143
_sambucol_b2s_category_uk_search_cpc_traffic_aug_2024_,Search,10/09/2024,GBP,26,Sambucol,521-119-4345,104.59,"1,208",143
_sambucol_b2s_category_uk_video_cpm_traffic_aug_2024_,Video,10/09/2024,GBP,26,Sambucol,521-119-4345,91.82,"32,232",53
NEW: PCM- VA+CC - 2024-25,Display,10/09/2024,GBP,22,Skin Doctors - PCM,393-022-8800,2.43,"3,853",44
PCM_Depilatories_24-25,Display,10/09/2024,GBP,30,Skin Doctors - PCM,393-022-8800,35.91,"34,678",565
_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,11/09/2024,GBP,20,Bioglan,784-415-3148,39.6,"101,445",508
_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,11/09/2024,GBP,40,Bioglan,784-415-3148,42.95,"1,073",106
_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,11/09/2024,GBP,26.66,Bioglan,784-415-3148,27.67,"7,996",21
_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,11/09/2024,GBP,43.33,Bioglan,784-415-3148,84.18,"207,298","1,104"
_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,11/09/2024,GBP,50,Bioglan,784-415-3148,54.4,"1,439",138
_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,11/09/2024,GBP,40,Bioglan,784-415-3148,41.21,"7,286",14
_pcm_bgl_vg_sk_uk_display_cpc_traffic_sep_2024_,Display,11/09/2024,GBP,27.58,Bioglan,784-415-3148,3.66,"1,090",54
_pcm_bgl_vg_sk_uk_search_cpc_traffic_sep_2024_,Search,11/09/2024,GBP,34.48,Bioglan,784-415-3148,31.9,850,117
_sambucol_b2s_category_uk_search_cpc_traffic_aug_2024_,Search,11/09/2024,GBP,26,Sambucol,521-119-4345,58.84,707,85
_sambucol_b2s_category_uk_video_cpm_traffic_aug_2024_,Video,11/09/2024,GBP,26,Sambucol,521-119-4345,36.91,"12,466",26
NEW: PCM- VA+CC - 2024-25,Display,11/09/2024,GBP,22,Skin Doctors - PCM,393-022-8800,43.63,"37,794",537
PCM_Depilatories_24-25,Display,11/09/2024,GBP,30,Skin Doctors - PCM,393-022-8800,10.37,"11,720",168
